message,messagetype
"01/6/2018, 18:33AVAIL BAL IN A/C XXX538: RS. 20092.38 CR01/06/18: 295.50 CR, BULK POSTING29/05/18: 9000.00 DR, 621556 TO CLEARING29/05/18: 10000.00 DR, 621555 TO CLEARING28/05/18: 13990.00 DR, TO TRFR28/05/18: 408.00 CR, BULK POSTING",Balance
"01/7/2018, 00:39AVAIL BAL IN A/C XXX538: RS. 24062.63 CR30/06/18: 15.00 CR, BY TRFR30/06/18: 4400.00 DR, TO TRFR30/06/18: 2000.00 CR, BY TRFR30/06/18: 7000.00 CR, CSH DEP (CDM)30/06/18: 4500.00 CR, CSH DEP (CDM)",Balance
"01/7/2018, 13:54AVAIL BAL IN A/C XXX538: RS. 23130.63 CR01/07/18: 960.00 DR, BY DEBIT CARD01/07/18: 28.00 CR, BY TRFR30/06/18: 15.00 CR, BY TRFR30/06/18: 4400.00 DR, TO TRFR30/06/18: 2000.00 CR, BY TRFR",Balance
"01/8/2018, 07:57AVAIL BAL IN A/C XXX321: RS. 6212.00 CRDOWNLOAD YONO WWW.YONOSBI.COM",Balance
"02/4/2018, 07:25AVAIL BAL IN A/C XXX997: RS. 20457.50 CRDOWNLOAD YONO WWW.YONOSBI.COM",Balance
"02/8/2018, 13:20AVAIL BAL IN A/C XXX698: RS. 148.78 CR",Balance
"02/8/2018, 16:36AVAIL BAL IN A/C XXX698: RS. 148.78 CR",Balance
"03/7/2018, 11:31AVAIL BAL IN A/C XXX538: RS. 32200.63 CR03/07/18: 600.00 CR, BULK POSTING02/07/18: 8500.00 CR, CSH DEP (CDM)01/07/18: 30.00 DR, TO TRFR01/07/18: 960.00 DR, BY DEBIT CARD01/07/18: 28.00 CR, BY TRFR",Balance
"03/8/2018, 13:31AVAIL BAL IN A/C XXX698: RS. 148.78 CR",Balance
"03/8/2018, 16:49AVAIL BAL IN A/C XXX965: RS. 4752.02 CRDOWNLOAD YONO WWW.YONOSBI.COM",Balance
"04/5/2018, 20:37AVAIL BAL IN A/C XXX538: RS. 24599.00 CR04/05/18: 5000.00 DR, TO TRFR04/05/18: 167.45 CR, BULK POSTING03/05/18: 17000.00 CR, CSH DEP (CDM)03/05/18: 5500.00 DR, 295697 TO CLEARING02/05/18: 10000.00 DR, 295698 CHEQUE WDL",Balance
"04/7/2018, 08:07AVAIL BAL IN A/C XXX538: RS. 18412.63 CR04/07/18: 10000.00 DR, 621559 TO CLEARING03/07/18: 3788.00 DR, TO TRFR03/07/18: 600.00 CR, BULK POSTING02/07/18: 8500.00 CR, CSH DEP (CDM)01/07/18: 30.00 DR, TO TRFR",Balance
"05/6/2018, 16:29AVAIL BAL IN A/C XXX538: RS. 16836.38 CRDOWNLOAD YONO WWW.YONOSBI.COM",Balance
"05/7/2018, 21:57AVAIL BAL IN A/C XXX538: RS. 11244.63 CR05/07/18: 200.00 CR, BULK POSTING04/07/18: 7368.00 DR, TO TRFR04/07/18: 10000.00 DR, 621559 TO CLEARING03/07/18: 3788.00 DR, TO TRFR03/07/18: 600.00 CR, BULK POSTING",Balance
"05/8/2018, 13:17AVAIL BAL IN A/C XXX321: RS. 4212.00 CRDOWNLOAD YONO WWW.YONOSBI.COM",Balance
"05/8/2018, 17:21AVAIL BAL IN A/C XXX321: RS. 7012.00 CRDOWNLOAD YONO WWW.YONOSBI.COM",Balance
"06/5/2018, 18:57AVAIL BAL IN A/C XXX538: RS. 21029.00 CR05/05/18: 3970.00 DR, TO TRFR05/05/18: 400.00 CR, BULK POSTING04/05/18: 5000.00 DR, TO TRFR04/05/18: 167.45 CR, BULK POSTING03/05/18: 17000.00 CR, CSH DEP (CDM)",Balance
"07/5/2018, 14:00AVAIL BAL IN A/C XXX538: RS. 25737.00 CR07/05/18: 5292.00 DR, TO TRFR07/05/18: 10000.00 CR, CSH DEP (CDM)05/05/18: 3970.00 DR, TO TRFR05/05/18: 400.00 CR, BULK POSTING04/05/18: 5000.00 DR, TO TRFR",Balance
